max_depth,min_samples_leaf,min_samples_split,n_estimators,Recall,Precision,Accuracy,F1 Score,AUC
10,1,100,100,0.94,0.72,0.71,0.82,0.5621
10,1,100,200,0.94,0.72,0.71,0.82,0.5621
10,1,100,400,0.94,0.72,0.71,0.82,0.5621
10,1,50,100,0.94,0.72,0.71,0.82,0.5621
10,1,50,200,0.94,0.72,0.71,0.82,0.5621
10,1,50,400,0.94,0.72,0.71,0.82,0.5621
10,1,30,100,0.94,0.72,0.71,0.82,0.5621
10,1,30,200,0.94,0.72,0.71,0.82,0.5621
10,1,30,400,0.94,0.72,0.71,0.82,0.5621
10,2,100,100,0.94,0.72,0.71,0.82,0.5621
10,2,100,200,0.94,0.72,0.71,0.82,0.5621
10,2,100,400,0.94,0.72,0.71,0.82,0.5621
10,2,50,100,0.94,0.72,0.71,0.82,0.5621
10,2,50,200,0.94,0.72,0.71,0.82,0.5621
10,2,50,400,0.94,0.72,0.71,0.82,0.5621
10,2,30,100,0.94,0.72,0.71,0.82,0.5621
10,2,30,200,0.94,0.72,0.71,0.82,0.5621
10,2,30,400,0.94,0.72,0.71,0.82,0.5621
10,4,100,100,0.94,0.72,0.71,0.82,0.5621
10,4,100,200,0.94,0.72,0.71,0.82,0.5621
10,4,100,400,0.94,0.72,0.71,0.82,0.5621
10,4,50,100,0.94,0.72,0.71,0.82,0.5621
10,4,50,200,0.94,0.72,0.71,0.82,0.5621
10,4,50,400,0.94,0.72,0.71,0.82,0.5621
10,4,30,100,0.94,0.72,0.71,0.82,0.5621
10,4,30,200,0.94,0.72,0.71,0.82,0.5621
10,4,30,400,0.94,0.72,0.71,0.82,0.5621
50,1,100,100,0.94,0.72,0.71,0.82,0.5621
50,1,100,200,0.94,0.72,0.71,0.82,0.5621
50,1,100,400,0.94,0.72,0.71,0.82,0.5621
50,1,50,100,0.94,0.72,0.71,0.82,0.5621
50,1,50,200,0.94,0.72,0.71,0.82,0.5621
50,1,50,400,0.94,0.72,0.71,0.82,0.5621
50,1,30,100,0.94,0.72,0.71,0.82,0.5621
50,1,30,200,0.94,0.72,0.71,0.82,0.5621
50,1,30,400,0.94,0.72,0.71,0.82,0.5621
50,2,100,100,0.94,0.72,0.71,0.82,0.5621
50,2,100,200,0.94,0.72,0.71,0.82,0.5621
50,2,100,400,0.94,0.72,0.71,0.82,0.5621
50,2,50,100,0.94,0.72,0.71,0.82,0.5621
50,2,50,200,0.94,0.72,0.71,0.82,0.5621
50,2,50,400,0.94,0.72,0.71,0.82,0.5621
50,2,30,100,0.94,0.72,0.71,0.82,0.5621
50,2,30,200,0.94,0.72,0.71,0.82,0.5621
50,2,30,400,0.94,0.72,0.71,0.82,0.5621
50,4,100,100,0.94,0.72,0.71,0.82,0.5621
50,4,100,200,0.94,0.72,0.71,0.82,0.5621
50,4,100,400,0.94,0.72,0.71,0.82,0.5621
50,4,50,100,0.94,0.72,0.71,0.82,0.5621
50,4,50,200,0.94,0.72,0.71,0.82,0.5621
50,4,50,400,0.94,0.72,0.71,0.82,0.5621
50,4,30,100,0.94,0.72,0.71,0.82,0.5621
50,4,30,200,0.94,0.72,0.71,0.82,0.5621
50,4,30,400,0.94,0.72,0.71,0.82,0.5621
